Activity Type,Location,Distance,Calories,Time,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Cadence,Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,Running,0.13,12,00:54.4,175,181,196,204,7:05,5:18,,,1.16,,,,,
running,Running,0.14,13,00:57.3,176,183,196,206,6:39,5:11,,,1.23,,,,,
running,Running,0.15,13,00:57.3,171,179,196,201,6:33,5:04,,,1.26,,,,,
running,Running,0.35,39,02:34.5,174,180,178,184,7:17,6:46,,,1.24,,,,,
running,Running,0.36,39,02:37.3,170,178,177,186,7:16,6:48,,,1.25,,,,,
treadmill_running,Treadmill Running,0.35,35,02:20.4,169,175,177,182,6:47,6:30,,,1.34,,,,,
treadmill_running,Treadmill Running,0.33,32,02:17.5,160,165,176,182,6:57,6:41,,,1.32,,,,,
running,Poughkeepsie Running,5.01,478,34:34:00,154,169,171,186,6:54,5:42,164,162,1.36,,,,,
running,Poughkeepsie Running,7.15,602,50:53:00,146,162,170,198,7:07,5:47,633,637,1.33,,,,,
indoor_cycling,Indoor Cycling,0,375,35:09:00,137,153,,,,,,,0,,,,,
running,Poughkeepsie Running,1.7,187,12:25,,,171,190,7:18,6:30,20,22,1.29,,,,,
treadmill_running,Treadmill Running,1.65,176,13:11,151,158,166,178,8:01,6:50,,,1.21,,,,,
indoor_cycling,Indoor Cycling,0,262,21:20,140,150,,,,,,,0,,,,,
running,Poughkeepsie Running,12.09,"1,146",1:23:17,156,176,169,198,6:53,4:20,276,301,1.38,,,,,
running,Boston Running,1.32,145,10:52,,,168,186,8:15,6:45,18,18,1.16,,,,,
running,Boston Running,1.49,164,12:24,,,163,186,8:18,4:19,41,41,1.19,,,,,
running,Poughkeepsie Running,4.47,439,31:17:00,156,173,172,198,7:00,3:32,112,119,1.34,,,,,
running,Poughkeepsie Running,7.47,677,52:14:00,151,168,169,191,7:00,5:23,568,556,1.36,,,,,
lap_swimming,Lap Swimming,,88,19:39,,,,,2:36,0:50,,,0,,,222,50,17
indoor_cycling,Indoor Cycling,0,209,14:51,154,171,,,,,,,0,,,,,
running,New Paltz Running,1.33,147,10:21,,,170,213,7:48,6:30,42,58,1.22,,,,,
indoor_cycling,Indoor Cycling,8.85,367,31:18:00,138,149,,,17,,75,,0,83,140,,,
running,Poughkeepsie Running,10.29,898,1:09:01,154,178,171,192,6:42,3:53,717,721,1.4,,,,,
walking,Poughkeepsie Walking,0.33,59,39:41:00,118,143,19,124,,12:53,,,0.7,,,,,
running,Poughkeepsie Running,4.42,420,30:43:00,154,165,171,188,6:56,6:03,156,136,1.36,,,,,
running,Staten Island Running,1.19,129,11:05,,,169,184,9:20,7:29,,,1.02,,,,,
running,Staten Island Running,0.25,19,01:01.1,,,193,205,4:04,4:02,,,2.05,,,,,
running,Staten Island Running,0.42,39,02:01.2,,,177,186,4:51,4:44,,,1.88,,,,,
running,Staten Island Running,0.59,61,03:01.9,,,168,190,5:08,4:51,,,1.87,,,,,
running,Staten Island Running,0.99,105,08:22.3,,,168,182,8:25,7:41,,,1.13,,,,,
running,Staten Island Running,1.55,177,12:05,,,168,186,7:49,6:29,,,1.22,,,,,
running,Poughkeepsie Running,2.85,282,20:55,151,171,169,208,7:21,3:53,58,66,1.29,,,,,
treadmill_running,Treadmill Running,5.99,576,41:55:00,160,178,168,188,7:00,6:18,,,1.25,,,,,
indoor_cycling,Indoor Cycling,0,181,15:51,134,152,,,,,,,0,,,,,
running,Poughkeepsie Running,10.08,912,1:06:57,158,176,171,189,6:39,5:19,394,392,1.42,,,,,
indoor_cycling,Indoor Cycling,0,221,16:00,154,169,,,,,,,0,,,,,
indoor_cycling,Indoor Cycling,0,321,25:22:00,147,161,,,,,,,0,,,,,
running,Poughkeepsie Running,0.92,98,07:03.2,159,167,166,212,7:38,6:40,33,,1.27,,,,,
running,Poughkeepsie Running,0.92,98,7:00,159,167,166,212,7:34,6:40,33,,0,,,,,
running,Poughkeepsie Running,3.54,339,22:34,169,184,166,203,6:22,4:38,92,93,1.52,,,,,
running,Poughkeepsie Running,3.54,337,23:51,168,184,164,202,6:44,4:38,92,93,0,,,,,
running,Poughkeepsie Running,1.38,136,10:07,151,158,169,178,7:20,6:13,37,44,1.3,,,,,
running,Poughkeepsie Running,1.38,135,10:12,151,157,166,178,7:24,6:15,37,44,0,,,,,
